mach,alpha,beta,lift,drag,pitch,side,yaw,roll
0.2,-5,0,-0.09536,0.0006,-0.02869,0.00076,-0.00032,0.0001
0.2,-2,0,0.05032,0.02859,-0.03162,0.00139,-0.00045,0.00016
0.2,0,0,0.15801,0.05241,-0.03772,0.00122,-0.0006,0.00015
0.2,1,0,0.20419,0.05498,-0.03833,0.00131,-0.00057,0.00018
0.2,2,0,0.24364,0.05744,-0.03822,0.00125,-0.00062,0.00015
0.2,5,0,0.37647,0.07342,-0.03992,0.00146,-0.00031,0.00009
0.2,8,0,0.51565,0.09798,-0.04179,0.00099,-0.00055,0.00014
0.2,10,0,0.60841,0.12075,-0.04245,0.0009,-0.00025,-0.00002
0.2,12,0,0.69804,0.15149,-0.04354,0.00044,-0.00027,-0.00002
0.2,15,0,0.83049,0.20591,-0.04567,0.00087,-0.00032,0.00005
0.2,16,0,0.87609,0.22712,-0.04524,0.00044,-0.00042,-0.00018
0.2,17,0,0.91671,0.24793,-0.04631,-0.00062,-0.00078,-0.00011
0.2,18,0,0.95803,0.27081,-0.04599,0.0008,-0.00034,0.00001
0.2,19,0,0.99969,0.2958,-0.04644,0.00139,-0.00035,0.00015
0.2,20,0,1.03901,0.32175,-0.04633,0.00109,-0.00034,0.00008
0.2,21,0,1.07716,0.34929,-0.04732,0.00057,-0.00056,0.00015
0.2,22,0,1.11984,0.37566,-0.04727,0.00019,-0.00093,0.00003
0.2,23,0,1.15105,0.41005,-0.04811,0.00048,-0.00049,-0.00011
0.2,24,0,1.19123,0.4392,-0.0483,0.00015,-0.00071,0.00001
0.2,25,0,1.22345,0.47319,-0.04867,0.00119,-0.00059,0.00004
0.2,26,0,1.26416,0.49748,-0.0498,0.00047,-0.00063,0.00009
0.2,27,0,1.29923,0.5226,-0.05084,0.00004,-0.00084,0.00008
0.2,28,0,1.3203,0.55854,-0.05246,0.00025,-0.00048,0.00016
0.2,29,0,1.33719,0.61031,-0.05362,-0.00081,-0.00051,0.00025
0.2,30,0,1.34735,0.66254,-0.05332,-0.00154,-0.00049,0.00026
0.3,-5,0,-0.09891,0.00719,-0.02743,0.00144,-0.0004,0.00015
0.3,-2,0,0.05108,0.03775,-0.03185,0.00039,-0.00035,0.0001
0.3,0,0,0.14088,0.0382,-0.03349,0.00045,-0.00036,0.00013
0.3,1,0,0.18693,0.0408,-0.03428,0.00055,-0.00031,0.0001
0.3,2,0,0.23342,0.04422,-0.03535,0.00041,-0.00036,0.00007
0.3,5,0,0.37366,0.06167,-0.03792,0.0005,-0.00042,0.00006
0.3,8,0,0.51764,0.08731,-0.0404,0.00071,-0.00037,0.00008
0.3,10,0,0.6151,0.11047,-0.04202,0.00126,-0.00056,0.00012
0.3,12,0,0.71123,0.13973,-0.04317,0.00089,-0.00072,0.00014
0.3,15,0,0.85096,0.19357,-0.04433,0.00117,-0.00022,0.00002
0.3,16,0,0.89497,0.21342,-0.04501,0.0009,-0.00034,0.00009
0.3,17,0,0.94294,0.23629,-0.04596,0.00115,-0.0003,0.00009
0.3,18,0,0.98536,0.2592,-0.04709,0.00106,-0.00032,0.00012
0.3,19,0,1.02803,0.28387,-0.04833,0.00158,-0.00061,0.00002
0.3,20,0,1.07007,0.31166,-0.04971,0.00189,-0.00047,-0.00004
0.3,21,0,1.11147,0.34064,-0.05111,0.00132,-0.00064,0.00013
0.3,22,0,1.14954,0.37121,-0.05227,0.00123,-0.00074,0.00001
0.3,23,0,1.1884,0.40458,-0.05292,0.00031,-0.00083,0.00008
0.3,24,0,1.22355,0.43961,-0.05572,0.00002,-0.00099,0.00012
0.3,25,0,1.65257,0.72557,0.01543,0.00142,-0.00047,0.00015
0.3,26,0,1.28391,0.51287,-0.05749,0.00043,-0.00028,0.00004
0.3,27,0,1.30942,0.55052,-0.05753,-0.00022,-0.00025,0.00015
0.3,28,0,1.32761,0.58649,-0.05859,-0.00091,-0.00042,0.00019
0.3,29,0,1.3497,0.62749,-0.05712,-0.00065,-0.00047,0.00005
0.3,30,0,1.36381,0.66621,-0.058,0.00021,-0.00018,0.00006
0.4,-5,0,-0.10302,0.01386,-0.02681,0.00101,-0.00027,0.00009
0.4,-2,0,0.04759,0.03154,-0.0316,0.00081,-0.00028,0.00012
0.4,0,0,0.13687,0.0321,-0.03287,0.0007,-0.00027,0.00012
0.4,1,0,0.1824,0.03416,-0.03335,0.00066,-0.00027,0.0001
0.4,2,0,0.22971,0.03673,-0.03435,0.00058,-0.00032,0.00011
0.4,5,0,0.37525,0.05302,-0.03714,0.00088,-0.00028,0.00009
0.4,8,0,0.52384,0.08155,-0.04021,0.00129,-0.00046,0.00017
0.4,10,0,0.62361,0.10642,-0.04189,0.00138,-0.00053,0.00014
0.4,12,0,0.72349,0.13604,-0.04336,0.00151,-0.00061,0.00013
0.4,15,0,0.86984,0.19046,-0.04644,0.00159,-0.0005,0.00013
0.4,16,0,0.91928,0.21172,-0.04699,0.00105,-0.00053,0.00011
0.4,17,0,0.96421,0.23343,-0.0488,0.00146,-0.00051,0.0001
0.4,18,0,1.00885,0.2572,-0.05062,0.00115,-0.00058,0.00006
0.4,19,0,1.05442,0.28371,-0.05314,0.00124,-0.00051,0.00021
0.4,20,0,1.09788,0.31191,-0.05577,0.00116,-0.00058,0.00004
0.4,21,0,1.13894,0.34248,-0.0581,0.00067,-0.0006,0.00008
0.4,22,0,1.17784,0.3763,-0.06102,0.00045,-0.00036,0.00009
0.4,23,0,1.21481,0.41227,-0.06367,0.00078,-0.00045,0.0002
0.4,24,0,1.2485,0.44947,-0.06464,-0.00012,-0.00056,0.00007
0.4,25,0,1.27324,0.48532,-0.06323,-0.00044,-0.0006,0.00005
0.4,26,0,1.29721,0.52359,-0.06278,0.00031,-0.00061,0.00021
0.4,27,0,1.31573,0.56268,-0.0619,-0.00046,-0.00062,0.00024
0.4,28,0,1.3331,0.60433,-0.06098,0.0006,-0.00017,0.00025
0.4,29,0,1.34602,0.6421,-0.05904,0.00114,-0.00026,0.00001
0.4,30,0,1.35248,0.67875,-0.05723,0.00262,-0.00021,0.00022
0.6,-5,0,-0.11096,0.01537,-0.02698,0.00142,-0.0003,0.00012
0.6,-2,0,0.04068,0.02425,-0.03136,0.00109,-0.00039,0.00013
0.6,0,0,0.13367,0.02583,-0.03277,0.00088,-0.00051,0.00013
0.6,1,0,0.18274,0.02783,-0.03411,0.00095,-0.00037,0.00012
0.6,2,0,0.23316,0.03111,-0.03525,0.00087,-0.00043,0.00012
0.6,5,0,0.38657,0.0492,-0.03868,0.00105,-0.00042,0.00011
0.6,8,0,0.54657,0.07868,-0.04222,0.00108,-0.00031,0.00011
0.6,10,0,0.65375,0.10474,-0.04538,0.00084,-0.00044,0.00011
0.6,12,0,0.76255,0.13697,-0.04881,0.00101,-0.00041,0.0001
0.6,15,0,0.92404,0.20096,-0.05612,0.00102,-0.0005,0.00011
0.6,16,0,0.97717,0.22836,-0.05994,0.00136,-0.00036,0.00009
0.6,17,0,1.02113,0.25839,-0.06482,0.00119,-0.00032,0.00012
0.6,18,0,1.06253,0.2907,-0.06843,0.00085,-0.00049,0.00013
0.6,19,0,1.09544,0.32212,-0.07061,0.00084,-0.0004,0.00013
0.6,20,0,1.12207,0.35381,-0.07015,0.00062,-0.00033,0.00019
0.6,21,0,1.15053,0.38737,-0.06871,0.00114,-0.00051,0.00017
0.6,22,0,1.16392,0.42239,-0.06801,0.0008,-0.00052,0.00008
0.6,23,0,1.17065,0.45644,-0.06674,0.00028,-0.00055,0.00007
0.6,24,0,1.17208,0.48653,-0.06205,0.00092,-0.00047,-0.00001
0.6,25,0,1.2032,0.52268,-0.06175,0.00076,-0.00041,0.0001
0.6,26,0,1.20587,0.55505,-0.05875,0.0011,-0.00066,-0.00007
0.6,27,0,1.21287,0.5914,-0.05652,0.0025,-0.00077,-0.0002
0.6,28,0,1.21339,0.62456,-0.05373,0.00254,-0.00073,-0.00008
0.6,29,0,1.21323,0.65566,-0.04885,0.0026,-0.00095,-0.00007
0.6,30,0,1.21386,0.68462,-0.04301,0.00331,-0.0008,-0.0001
0.8,-5,0,-0.12423,0.03008,-0.02896,0.00085,-0.00046,0.00012
0.8,-2,0,0.03468,0.02246,-0.03281,0.00095,-0.00042,0.00012
0.8,0,0,0.13774,0.01399,-0.03512,0.00098,-0.00033,0.00013
0.8,1,0,0.18489,0.02971,-0.03537,0.00089,-0.00038,0.00011
0.8,2,0,0.24591,0.02232,-0.03806,0.00079,-0.00038,0.00011
0.8,5,0,0.4172,0.04418,-0.0432,0.00087,-0.00036,0.00011
0.8,8,0,0.60112,0.09013,-0.05039,0.0011,-0.00037,0.00012
0.8,10,0,0.73239,0.12063,-0.0557,0.00079,-0.00036,0.00013
0.8,12,0,0.84754,0.17339,-0.0688,0.00096,-0.00029,0.00018
0.8,15,0,0.9808,0.25128,-0.07671,0.00135,-0.00035,0.00018
0.8,16,0,1.0125,0.27701,-0.07654,0.00141,-0.00038,0.00019
0.8,17,0,1.02635,0.30112,-0.07507,0.00169,-0.00022,0.00015
0.8,18,0,1.05504,0.33186,-0.07409,0.00123,-0.00053,0.00007
0.8,19,0,1.0646,0.35835,-0.07072,0.00154,-0.00056,-0.00005
0.8,20,0,1.06735,0.38514,-0.06545,0.00123,-0.00054,0.00002
0.8,21,0,1.06773,0.41219,-0.05989,0.00071,-0.00066,0.00018
0.8,22,0,1.05915,0.43626,-0.05184,0.00081,-0.00052,0.00021
0.8,23,0,1.05997,0.46392,-0.04704,0.00043,-0.00053,0.00013
0.8,24,0,1.06977,0.49413,-0.04548,0.00131,-0.00054,0.00021
0.8,25,0,1.08362,0.52378,-0.04374,0.00195,-0.0007,0.00014
0.8,26,0,1.10404,0.5579,-0.042,0.00189,-0.00062,0.00009
0.8,27,0,1.12211,0.5937,-0.03757,0.00166,-0.00098,0.00012
0.8,28,0,1.1346,0.62826,-0.03152,0.00242,-0.00098,0.00001
0.8,29,0,1.14462,0.66081,-0.02522,-0.00055,-0.00086,0.00021
0.8,30,0,1.16239,0.69783,-0.01916,-0.00132,-0.00024,0.00027
0.85,-5,0,-0.13041,0.02673,-0.03085,0.00092,-0.00038,0.00013
0.85,-2,0,0.035,0.02356,-0.03456,0.00092,-0.00037,0.00011
0.85,0,0,0.14409,0.02513,-0.0376,0.00097,-0.00037,0.00011
0.85,1,0,0.20034,0.02875,-0.03921,0.00105,-0.00032,0.00011
0.85,2,0,0.25773,0.03368,-0.04123,0.00084,-0.00045,0.0001
0.85,5,0,0.44371,0.05821,-0.04955,0.00091,-0.00035,0.00009
0.85,8,0,0.65394,0.09972,-0.06178,0.0006,-0.00031,0.00014
0.85,10,0,0.7893,0.14464,-0.06915,0.00085,-0.00033,0.00011
0.85,12,0,0.90475,0.19964,-0.07469,0.00054,-0.00028,0.00022
0.85,15,0,1.01201,0.27225,-0.07903,0.00068,-0.00025,0.00017
0.85,16,0,1.03387,0.29524,-0.07622,0.00102,-0.00029,0.00019
0.85,17,0,1.03634,0.31593,-0.07216,0.00101,-0.00043,0.00018
0.85,18,0,1.04181,0.33962,-0.06936,0.00151,-0.00048,0.00009
0.85,19,0,1.05044,0.36505,-0.06671,0.00138,-0.00034,0.00007
0.85,20,0,1.06532,0.39332,-0.06452,0.00132,-0.00024,0.00009
0.85,21,0,1.08214,0.4244,-0.06284,0.00099,-0.00056,0.00005
0.85,22,0,1.0934,0.45501,-0.05959,0.00148,-0.00047,0.00003
0.85,23,0,1.09998,0.48652,-0.05601,0.00101,-0.00067,0.00004
0.85,24,0,1.10383,0.51896,-0.05255,0.00133,-0.00058,-0.00002
0.85,25,0,1.10896,0.54625,-0.04763,0.00177,-0.00065,0.00002
0.85,26,0,1.12278,0.57689,-0.04216,0.00149,-0.0007,0.00001
0.85,27,0,1.13689,0.6104,-0.03733,0.00209,-0.00038,0.00005
0.85,28,0,1.14786,0.64712,-0.03311,0.00196,-0.00061,-0.00005
0.85,29,0,1.16313,0.68612,-0.02991,-0.00035,-0.00033,0.00007
0.85,30,0,1.17909,0.7233,-0.02507,-0.0016,-0.00031,0.00013
0.9,-5,0,-0.15947,0.04402,-0.0277,0.00098,-0.00034,0.0001
0.9,-2,0,0.01947,0.03525,-0.03403,0.00105,-0.0003,0.00011
0.9,0,0,0.13416,0.03546,-0.03777,0.0008,-0.00035,0.00013
0.9,1,0,0.19397,0.03983,-0.04034,0.00089,-0.0003,0.00012
0.9,2,0,0.25491,0.04568,-0.043,0.00076,-0.00038,0.00011
0.9,5,0,0.4512,0.07333,-0.05418,0.00073,-0.00034,0.0001
0.9,8,0,0.65067,0.12783,-0.06436,0.00063,-0.00037,0.00012
0.9,10,0,0.77589,0.17112,-0.06879,0.0008,-0.00028,0.00013
0.9,12,0,0.89225,0.22043,-0.07255,0.0008,-0.00034,0.0002
0.9,15,0,1.03466,0.30017,-0.07351,0.00081,-0.00031,0.00015
0.9,16,0,1.0765,0.33036,-0.07342,0.00068,-0.00035,0.00029
0.9,17,0,1.09714,0.35606,-0.06956,0.00069,-0.00033,0.00029
0.9,18,0,1.12378,0.38447,-0.0696,0.00092,-0.00039,0.00027
0.9,19,0,1.11469,0.4027,-0.06627,0.00188,-0.0002,0.00023
0.9,20,0,1.14272,0.43414,-0.06704,0.00067,-0.00017,0.00025
0.9,21,0,1.13652,0.45814,-0.06273,0.00015,-0.00001,0.00023
0.9,22,0,1.13245,0.48825,-0.05938,0.00118,-0.00034,0.00015
0.9,23,0,1.15041,0.52246,-0.0579,0.00025,-0.00032,0
0.9,24,0,1.16543,0.55231,-0.06023,0.00078,-0.0003,0.00003
0.9,25,0,1.23891,0.61001,-0.06109,0.00056,-0.00037,0.00012
0.9,26,0,1.18707,0.61941,-0.0546,0.00166,-0.00078,-0.00011
0.9,27,0,1.1963,0.65091,-0.04948,0.00194,-0.00073,-0.00008
0.9,28,0,1.21297,0.68582,-0.04371,0.00244,-0.00037,-0.00019
0.9,29,0,1.2289,0.72477,-0.03801,0.0025,-0.00087,-0.00029
0.9,30,0,1.24361,0.76357,-0.03464,0.00202,-0.00056,-0.00014
0.95,-5,0,-0.27675,0.07822,0.00493,0.00082,-0.00028,0.00006
0.95,-2,0,-0.05726,0.06125,-0.01631,0.00069,-0.00034,0.00009
0.95,0,0,0.07624,0.05157,-0.027,0.00083,-0.00027,0.0001
0.95,1,0,0.14318,0.05399,-0.03212,0.00063,-0.00032,0.00011
0.95,2,0,0.21174,0.0594,-0.03767,0.00081,-0.00028,0.00012
0.95,5,0,0.4214,0.09096,-0.05493,0.00065,-0.00026,0.00011
0.95,8,0,0.62896,0.14425,-0.07008,0.00058,-0.0003,0.00018
0.95,10,0,0.76253,0.19112,-0.07879,0.00063,-0.00024,0.00018
0.95,12,0,0.88998,0.24456,-0.08604,0.00035,-0.00032,0.00005
0.95,15,0,1.06144,0.33961,-0.09207,0.00053,-0.00026,0.00016
0.95,16,0,1.11401,0.3736,-0.09342,0.0006,-0.00027,0.00016
0.95,17,0,1.15749,0.40733,-0.09234,0.0005,-0.0003,0.00021
0.95,18,0,1.19977,0.44106,-0.09144,0.00034,-0.00031,0.0002
0.95,19,0,1.23906,0.47576,-0.09008,0.00039,-0.00035,0.00042
0.95,20,0,1.27725,0.51252,-0.08917,0.00039,-0.00023,0.00044
0.95,21,0,1.30941,0.54988,-0.0873,0.00018,-0.00021,0.00056
